alpha,huber_delta,cv_mean_axis_normalized_error,fold_count,validation_observations
0.01,0.0025,0.0081045112801069,5,65
0.1,0.0025,0.007180451252207737,5,65
1.0,0.0025,0.006965319312319756,5,65
10.0,0.0025,0.0067022372009753525,5,65
100.0,0.0025,0.006367871278495053,5,65
1000.0,0.0025,0.006271711963114704,5,65
0.01,0.005,0.008398963828807497,5,65
0.1,0.005,0.007834855642411919,5,65
1.0,0.005,0.007156044117293806,5,65
10.0,0.005,0.006808322122243867,5,65
100.0,0.005,0.006454409771992665,5,65
1000.0,0.005,0.006280195949899581,5,65
0.01,0.01,0.009218551323233837,5,65
0.1,0.01,0.00869454751841113,5,65
1.0,0.01,0.00785826845328195,5,65
10.0,0.01,0.007106079179391667,5,65
100.0,0.01,0.006616210902133391,5,65
1000.0,0.01,0.006284955869128391,5,65
0.01,0.02,0.01020598710003231,5,65
0.1,0.02,0.009986538821219483,5,65
1.0,0.02,0.008690294473086549,5,65
10.0,0.02,0.007738586439848271,5,65
100.0,0.02,0.006788900089057725,5,65
1000.0,0.02,0.006312018741393802,5,65
0.01,0.05,0.010164529070283831,5,65
0.1,0.05,0.010005690161768914,5,65
1.0,0.05,0.009646224720915628,5,65
10.0,0.05,0.00910757553304121,5,65
100.0,0.05,0.0071697191830758485,5,65
1000.0,0.05,0.006544121777054554,5,65
