dataset,scope,chart_type,method,total_samples,covered_samples,coverage,mae,median_absolute_error,axis_error_threshold,correct_samples,accuracy_all,accuracy_covered
phase1_masked_value,all,all,raw_geometry,87,87,1.0,0.969970368982155,0.1259973515626669,0.01,77,0.8850574712643678,0.8850574712643678
phase1_masked_value,all,all,raw_geometry,87,87,1.0,0.969970368982155,0.1259973515626669,0.02,81,0.9310344827586207,0.9310344827586207
phase1_masked_value,all,all,raw_geometry,87,87,1.0,0.969970368982155,0.1259973515626669,0.05,84,0.9655172413793104,0.9655172413793104
phase1_masked_value,all,all,calibrated_geometry,87,87,1.0,0.7177318012682984,0.06724551765531395,0.01,76,0.8735632183908046,0.8735632183908046
phase1_masked_value,all,all,calibrated_geometry,87,87,1.0,0.7177318012682984,0.06724551765531395,0.02,82,0.9425287356321839,0.9425287356321839
phase1_masked_value,all,all,calibrated_geometry,87,87,1.0,0.7177318012682984,0.06724551765531395,0.05,84,0.9655172413793104,0.9655172413793104
phase1_masked_value,all,bar,raw_geometry,72,72,1.0,0.5860734311756768,0.1001472162680086,0.01,69,0.9583333333333334,0.9583333333333334
phase1_masked_value,all,bar,raw_geometry,72,72,1.0,0.5860734311756768,0.1001472162680086,0.02,72,1.0,1.0
phase1_masked_value,all,bar,raw_geometry,72,72,1.0,0.5860734311756768,0.1001472162680086,0.05,72,1.0,1.0
phase1_masked_value,all,bar,calibrated_geometry,72,72,1.0,0.29757524192849416,0.060953520326243904,0.01,69,0.9583333333333334,0.9583333333333334
phase1_masked_value,all,bar,calibrated_geometry,72,72,1.0,0.29757524192849416,0.060953520326243904,0.02,72,1.0,1.0
phase1_masked_value,all,bar,calibrated_geometry,72,72,1.0,0.29757524192849416,0.060953520326243904,0.05,72,1.0,1.0
phase1_masked_value,all,line,raw_geometry,15,15,1.0,2.812675670453251,0.4204686030078051,0.01,8,0.5333333333333333,0.5333333333333333
phase1_masked_value,all,line,raw_geometry,15,15,1.0,2.812675670453251,0.4204686030078051,0.02,9,0.6,0.6
phase1_masked_value,all,line,raw_geometry,15,15,1.0,2.812675670453251,0.4204686030078051,0.05,12,0.8,0.8
phase1_masked_value,all,line,calibrated_geometry,15,15,1.0,2.734483286099359,0.37916902992852464,0.01,7,0.4666666666666667,0.4666666666666667
phase1_masked_value,all,line,calibrated_geometry,15,15,1.0,2.734483286099359,0.37916902992852464,0.02,10,0.6666666666666666,0.6666666666666666
phase1_masked_value,all,line,calibrated_geometry,15,15,1.0,2.734483286099359,0.37916902992852464,0.05,12,0.8,0.8
phase1_masked_value,test,all,raw_geometry,22,22,1.0,1.760270440375277,0.07433225257697162,0.01,20,0.9090909090909091,0.9090909090909091
phase1_masked_value,test,all,raw_geometry,22,22,1.0,1.760270440375277,0.07433225257697162,0.02,20,0.9090909090909091,0.9090909090909091
phase1_masked_value,test,all,raw_geometry,22,22,1.0,1.760270440375277,0.07433225257697162,0.05,21,0.9545454545454546,0.9545454545454546
phase1_masked_value,test,all,calibrated_geometry,22,22,1.0,1.4215724658297424,0.07162186248513347,0.01,20,0.9090909090909091,0.9090909090909091
phase1_masked_value,test,all,calibrated_geometry,22,22,1.0,1.4215724658297424,0.07162186248513347,0.02,20,0.9090909090909091,0.9090909090909091
phase1_masked_value,test,all,calibrated_geometry,22,22,1.0,1.4215724658297424,0.07162186248513347,0.05,21,0.9545454545454546,0.9545454545454546
phase1_masked_value,test,bar,raw_geometry,18,18,1.0,0.4725893129263695,0.05934673049814054,0.01,18,1.0,1.0
phase1_masked_value,test,bar,raw_geometry,18,18,1.0,0.4725893129263695,0.05934673049814054,0.02,18,1.0,1.0
phase1_masked_value,test,bar,raw_geometry,18,18,1.0,0.4725893129263695,0.05934673049814054,0.05,18,1.0,1.0
phase1_masked_value,test,bar,calibrated_geometry,18,18,1.0,0.07533922970783563,0.06494195830968463,0.01,18,1.0,1.0
phase1_masked_value,test,bar,calibrated_geometry,18,18,1.0,0.07533922970783563,0.06494195830968463,0.02,18,1.0,1.0
phase1_masked_value,test,bar,calibrated_geometry,18,18,1.0,0.07533922970783563,0.06494195830968463,0.05,18,1.0,1.0
phase1_masked_value,test,line,raw_geometry,4,4,1.0,7.55483551389536,0.2678006705002409,0.01,2,0.5,0.5
phase1_masked_value,test,line,raw_geometry,4,4,1.0,7.55483551389536,0.2678006705002409,0.02,2,0.5,0.5
phase1_masked_value,test,line,raw_geometry,4,4,1.0,7.55483551389536,0.2678006705002409,0.05,3,0.75,0.75
phase1_masked_value,test,line,calibrated_geometry,4,4,1.0,7.479622028378323,0.4978088220465122,0.01,2,0.5,0.5
phase1_masked_value,test,line,calibrated_geometry,4,4,1.0,7.479622028378323,0.4978088220465122,0.02,2,0.5,0.5
phase1_masked_value,test,line,calibrated_geometry,4,4,1.0,7.479622028378323,0.4978088220465122,0.05,3,0.75,0.75
phase3_line_2d,all,line,oracle_x_geometry,17,17,1.0,1.5624342363674815,1.2149470737774521,0.01,7,0.4117647058823529,0.4117647058823529
phase3_line_2d,all,line,oracle_x_geometry,17,17,1.0,1.5624342363674815,1.2149470737774521,0.02,8,0.47058823529411764,0.47058823529411764
phase3_line_2d,all,line,oracle_x_geometry,17,17,1.0,1.5624342363674815,1.2149470737774521,0.05,9,0.5294117647058824,0.5294117647058824
