split,chart_type,method,n,chart_count,mae,median_absolute_error,rmse,mean_relative_error,median_relative_error,mean_axis_normalized_error,median_axis_normalized_error,within_1pct_axis,within_2pct_axis,within_5pct_axis,mean_signed_error
train,bar,raw,54,54,0.6239014705921127,0.11942301445412618,1.8970639622439058,0.007958360398634777,0.0062392323346651,0.004806795342277934,0.004492989739434491,0.9444444444444444,1.0,1.0,-0.5982075169131369
train,bar,calibrated,54,54,0.3716539126687137,0.05606084222628027,0.9458279323680254,0.004492708651963647,0.0027324539618520985,0.0027031136075204715,0.0017520831092509648,0.9444444444444444,1.0,1.0,0.059309010146509994
train,line,raw,11,11,1.0882539092015753,0.4204686030078051,2.192856666511,0.05948822866528122,0.01580028014061213,0.02524250506419745,0.008598598515296268,0.5454545454545454,0.6363636363636364,0.8181818181818182,-0.9785191167885272
train,line,calibrated,11,11,1.008978288907008,0.37916902992852464,2.0905233641626473,0.05414879357105396,0.017800781534605545,0.0233612343123768,0.010309947848711271,0.45454545454545453,0.7272727272727273,0.8181818181818182,-0.8099723867305616
test,bar,raw,18,18,0.4725893129263695,0.05934673049814054,1.341455713986063,0.008661310568847915,0.007952511824473714,0.004008768997285705,0.0035297678784367717,1.0,1.0,1.0,-0.4684369018961626
test,bar,calibrated,18,18,0.07533922970783563,0.06494195830968463,0.09598790817045064,0.004163643256275037,0.0035145031944381257,0.002361228193862082,0.0017134041539672257,1.0,1.0,1.0,-0.015180539248358974
test,line,raw,4,4,7.55483551389536,0.2678006705002409,14.818403524497413,0.21823506979027782,0.01156246007289919,0.0586369315866567,0.02478728702915244,0.5,0.5,0.75,-7.336653287092823
test,line,calibrated,4,4,7.479622028378323,0.4978088220465122,14.44084707459538,0.21498706073379,0.015847003946350347,0.05750446053140792,0.024766249146041152,0.5,0.5,0.75,-6.998475831698681
all,bar,raw,72,72,0.5860734311756768,0.1001472162680086,1.7745463126613166,0.008134097941188063,0.006591751343444823,0.004607288756029877,0.004342284284078233,0.9583333333333334,1.0,1.0,-0.5657648631588933
all,bar,calibrated,72,72,0.29757524192849416,0.060953520326243904,0.8205158608244056,0.004410442303041494,0.0030043128968013297,0.002617642254105874,0.0017520831092509648,0.9583333333333334,1.0,1.0,0.04068662279779276
all,line,raw,15,15,2.812675670453251,0.4204686030078051,7.87923497139931,0.10182071963194698,0.0149454336363278,0.03414768547018658,0.008598598515296268,0.5333333333333333,0.6,0.8,-2.674021562203006
all,line,calibrated,15,15,2.7344832860993593,0.37916902992852464,7.669095662569387,0.09703899814778356,0.017800781534605545,0.032466094637451766,0.010309947848711271,0.4666666666666667,0.6666666666666666,0.8,-2.460239972055393
