sample_id,chart_id,target_semantic_label,column_absolute_error,local_absolute_error,column_error_minus_local_error,local_fitting_outcome,local_fit_residual_pixels
phase3_line_0001,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,2016,,0.44923184299265984,,recovered_missing_column_point,0.22553332675943238
phase3_line_0002,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,2020,0.5741712444479106,0.6137383631420334,-0.03956711869412288,worsened,0.2968198296767923
phase3_line_0003,0984f9f91153f4c634fe36acbd2e613ca604ad4dbdd5f14e90deb6fb1ca58447,Jan-24,0.06504836024372906,0.07532021197553007,-0.010271851731801007,worsened,1.4452420957911443
phase3_line_0004,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,3QFY22,0.012034788649785355,0.06493860184352229,-0.05290381319373694,worsened,0.14811656845549237
phase3_line_0005,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,3QFY23,0.1707937225755991,0.06266753847473083,0.10812618410086827,improved,2.4913390002216715
phase3_line_0006,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,2QFY23,0.13849461097075633,0.07250926013704273,0.0659853508337136,improved,0.2993989053375685
phase3_line_0007,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,4QFY22,0.12148893848085862,0.06360566021537295,0.05788327826548567,improved,6.38156149726035
phase3_line_0008,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,4QFY23,0.1599638874415552,0.05108785766696666,0.10887602977458855,improved,0.6549990040074931
phase3_line_0009,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,1QFY24,0.015127622830208076,0.023791720841855102,-0.008664098011647026,worsened,2.2662955819881745
phase3_line_0010,63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,2022,0.12301182369362351,0.1836258938510369,-0.06061407015741338,worsened,0.2008593886628205
phase3_line_0011,63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,1960,0.24054626279072977,0.25432458946073666,-0.01377832667000689,worsened,0.16618676227918172
phase3_line_0012,a0b47eb2b96478aef9d4153530745d6f9c5d0ca9ae2eea829ca619526e513389,Jan-24,0.7086067379257912,0.3497503232940318,0.35885641463175943,improved,7.735775534650145
phase3_line_0013,ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,FY19,0.0014933478142804546,0.009441895199143957,-0.007948547384863502,worsened,1.3289694240261838
phase3_line_0014,ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,FY18,0.02750814553353198,0.014132587124396245,0.013375558409135735,improved,1.1593879478722329
phase3_line_0015,d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,2016,0.3810921140139243,0.3675220477758785,0.013570066238045797,improved,0.22527642188585162
phase3_line_0016,d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,2022,0.26122842626269005,0.24031489671274642,0.020913529549943632,improved,0.37307041947103414
phase3_line_0017,f67e4ec462a67537ded3224f596a1db3d5f2df8ed0536a7ae0ba43cad1cdf115,Oct-23,0.054794747489737006,0.0745307953933505,-0.019736047903613496,worsened,3.564144764625837
