sample_id,chart_id,chart_kind,auto_status,status_reason,overlay_path,manual_target_ok,manual_geometry_ok,notes
phase4_line_0002,02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0002_auto_local.png,,,
phase4_line_0003,044ddc0a03bbfdd12c3c4cddf7b2a27bac597d55df9d8a1f7b7c2155b86b7766,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0003_auto_local.png,,,
phase4_line_0005,04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0005_auto_local.png,,,
phase4_line_0006,04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0006_auto_local.png,,,
phase4_line_0007,04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0007_auto_local.png,,,
phase4_line_0008,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0008_auto_local.png,,,
phase4_line_0009,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0009_auto_local.png,,,
phase4_line_0010,0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0010_auto_local.png,,,
phase4_line_0011,0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0011_auto_local.png,,,
phase4_line_0012,0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,multi_line,success,,examples/phase4_debug_overlays/phase4_line_0012_auto_local.png,,,
