stage,chart_id,chart_kind,sample_id,status,reason
runtime,02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,multi_line,phase4_line_0001,ambiguous_series,legend_color_mismatch
runtime,2d5c7091b9d4b68f0a8d756bc6ae376deb6783a8dce2980aa935997309f689d2,multi_line,phase4_line_0020,ambiguous_series,legend_color_mismatch
runtime,2f64995a24fe867563e33e8a669cf7c0665747a51ba6e3a60c63ed8f92b6d8f9,single_line,phase4_line_0021,line_localization_failed,no_recoverable_point_at_target_x
runtime,2f64995a24fe867563e33e8a669cf7c0665747a51ba6e3a60c63ed8f92b6d8f9,single_line,phase4_line_0022,line_localization_failed,target_series_missing_near_target_x
runtime,2f84858d40ae59e95053cfdcf2a53a07182c1033873786b6e51911f93ab8e8de,multi_line,phase4_line_0023,ambiguous_series,local_overlap_with_other_series
runtime,41bfb4e074dcc1b142ca6508a876e4a6b111873f59d94a2af726f7f9cd0eec7d,multi_line,phase4_line_0030,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,430fc856acd67489214e939cda8bc73ef4017815e24f13d46ec22009ba852efd,multi_line,phase4_line_0033,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,4f0ec49d1ae75953e5429ee20390b59b5c10823b2d36dd887a03151848dd6ac3,multi_line,phase4_line_0034,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,4f0ec49d1ae75953e5429ee20390b59b5c10823b2d36dd887a03151848dd6ac3,multi_line,phase4_line_0035,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,4f0ec49d1ae75953e5429ee20390b59b5c10823b2d36dd887a03151848dd6ac3,multi_line,phase4_line_0036,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,multi_line,phase4_line_0037,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,multi_line,phase4_line_0039,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,multi_line,phase4_line_0040,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,multi_line,phase4_line_0041,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,71fab834bf28317f1537051879700ee8e8187e5b03929d3a4df3ac48191f42a8,multi_line,phase4_line_0045,ambiguous_series,local_overlap_with_other_series
runtime,785c295d56f999c992be816668d2cff9eed8392ee1be4d7e9604231848918104,single_line,phase4_line_0046,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,785c295d56f999c992be816668d2cff9eed8392ee1be4d7e9604231848918104,single_line,phase4_line_0047,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,81c2916fe1c4b6878c4df85a7e7408cc233dbab8aa74503a278161542d3846d0,single_line,phase4_line_0049,line_localization_failed,target_series_missing_near_target_x
runtime,831efdf5408cdffad6ee9deae12dbc2ec0beb864a7bbf17040568b8800901f63,multi_line,phase4_line_0050,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
runtime,831efdf5408cdffad6ee9deae12dbc2ec0beb864a7bbf17040568b8800901f63,multi_line,phase4_line_0052,ambiguous_series,question_has_no_series_but_chart_has_multiple_lines
construction,001626b047a1d9e3775df58be6cf8605d907c97f9d5b76f9ef1dc35e033b1e66,multi_line,,rejected,no_series_pixels_near_gold_y
construction,001626b047a1d9e3775df58be6cf8605d907c97f9d5b76f9ef1dc35e033b1e66,multi_line,,no_label_accepted,
construction,02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,multi_line,,rejected,target_series_not_in_legend
construction,02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,multi_line,,accepted,
construction,03103a3b4ea09614af30d3c3f32797cc61808d8a3ef6dd4300eba000f8ea52d4,multi_line,,rejected,crop_ocr_did_not_confirm_value
construction,03103a3b4ea09614af30d3c3f32797cc61808d8a3ef6dd4300eba000f8ea52d4,multi_line,,no_label_accepted,
construction,044ddc0a03bbfdd12c3c4cddf7b2a27bac597d55df9d8a1f7b7c2155b86b7766,multi_line,,accepted,
construction,04901894fd4c37e24c7dc81559baba28d48552ad4d35b8d55782a2a9c4a9e937,single_line,,rejected,no_reliable_semantic_x_target
construction,04901894fd4c37e24c7dc81559baba28d48552ad4d35b8d55782a2a9c4a9e937,single_line,,rejected,no_reliable_semantic_x_target
construction,04901894fd4c37e24c7dc81559baba28d48552ad4d35b8d55782a2a9c4a9e937,single_line,,accepted,
construction,04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,multi_line,,accepted,
construction,069afeaba0d15ce78e7961e93c72de6ea52ecd1a71e2d2820cd8f2383cbb4982,single_line,,no_coherent_x_anchor_sequence,
construction,06a73a7731c3672cc4bea77d9297dcf6cf1978677e9d86625c331a15f42c133d,multi_line,,legend_unrecoverable_at_construction,
construction,06b64ec7d142065310314d2f3280cb8271c90d1ca0586dd97db9e41c6beda132,single_line,,bar_line_combination_out_of_scope,
construction,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,multi_line,,rejected,no_reliable_semantic_x_target
construction,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,multi_line,,accepted,
construction,078f086a69f59f8a9b87a1c65d994ffe2c1bfee0552ce9f091459389b1d729c9,multi_line,,no_coherent_x_anchor_sequence,
construction,0984f9f91153f4c634fe36acbd2e613ca604ad4dbdd5f14e90deb6fb1ca58447,single_line,,no_line_series_at_construction,
construction,0a36f719618c03c5eae5bc641d448ef4e2e4be78dc31ee4810e420b14e160350,single_line,,no_coherent_x_anchor_sequence,
construction,0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,multi_line,,accepted,
construction,0bef2e96e94467fccaf269705ebad16c6f2d989ad28ff24aa8de8fecc9152733,multi_line,,bar_line_combination_out_of_scope,
construction,0d30f8e208c16c7246848f67ed3007c7e0de2bc719cbfdf1d82ccb46bba04eca,single_line,,bar_line_combination_out_of_scope,
construction,0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,multi_line,,accepted,
construction,10ed1b4ece4aab17b02d4dd895726f1f102ed954180d98875a6bde80a7f0aa90,multi_line,,no_coherent_x_anchor_sequence,
construction,10fb85e423020847d4ed37198ebd0f56d2a7e0e0f555349cda6678bf91fff318,multi_line,,bar_line_combination_out_of_scope,
construction,125bf3e8d1eb5611841fcf1bca283ce9a189382bae5ecb44aba5b8f5b82f340f,multi_line,,bar_line_combination_out_of_scope,
construction,13d33ca8afe33042fbfd73d92336e97bf5abfa1f254596124f2b3c3330d4b163,multi_line,,accepted,
construction,1485c42d1f5a96ffc2970c92a9081fd543704e1947972b6dd90c8506cc37f967,multi_line,,bar_line_combination_out_of_scope,
construction,17c6c561c6276c4aab1b6bd0697280bd78983f4ae29059d03539d20ac7c11daa,single_line,,bar_line_combination_out_of_scope,
construction,18684f6c61f843dee99b8e2758eb6609914a75665756711a6e9323847cdf63f5,multi_line,,no_coherent_x_anchor_sequence,
construction,197068b65de97348370460b6d758d558bf2b03814955506e154a4fc251f7119c,multi_line,,rejected,crop_ocr_did_not_confirm_value
construction,197068b65de97348370460b6d758d558bf2b03814955506e154a4fc251f7119c,multi_line,,rejected,target_series_not_in_legend
construction,197068b65de97348370460b6d758d558bf2b03814955506e154a4fc251f7119c,multi_line,,rejected,target_series_not_in_legend
construction,197068b65de97348370460b6d758d558bf2b03814955506e154a4fc251f7119c,multi_line,,no_label_accepted,
construction,1b8b05e8ff3f584d5b318438c38fcd737b331f8b856865c09127cc34aac3db47,multi_line,,bar_line_combination_out_of_scope,
construction,1c8a7c201cb876880e5b5b45ba328a50bd0deed4b6a264f8ab5c1c6947a57ec5,multi_line,,rejected,label_too_far_from_any_series
construction,1c8a7c201cb876880e5b5b45ba328a50bd0deed4b6a264f8ab5c1c6947a57ec5,multi_line,,no_label_accepted,
construction,1ef1dd5afa918b8dde1941142c5c36d870991018f6cabad0effca57aa646c3b3,single_line,,bar_line_combination_out_of_scope,
construction,2053449d42ad9411eae99b9d96ecb200c559ad0439b321a562320c1168e72f23,multi_line,,no_coherent_x_anchor_sequence,
construction,2299bdb915a90a685d20abce3696ca7a7ecce5c65583c0c45b03286b808815bc,multi_line,,accepted,
construction,24f88417e9ba4c1946deee5147085bae13e45f89e851c0d7644b8d121b359574,single_line,,bar_line_combination_out_of_scope,
construction,275f6a2d10a64a4f6ee00e92826f7957648f035197c4e45648a5e2505bfc0106,single_line,,bar_line_combination_out_of_scope,
construction,2a6cb688ecc10d292c729ab031e3cd051a46617a5f14a587e6f455447e18c5a1,multi_line,,rejected,no_series_pixels_near_gold_y
construction,2a6cb688ecc10d292c729ab031e3cd051a46617a5f14a587e6f455447e18c5a1,multi_line,,no_label_accepted,
construction,2ad76e5949a7db890b8985b5d310f953c91b1953225f1af72e96a2400aa5fa6d,single_line,,no_line_series_at_construction,
construction,2d5c7091b9d4b68f0a8d756bc6ae376deb6783a8dce2980aa935997309f689d2,multi_line,,accepted,
construction,2ddae60ff70976755f8abe7ac2df337a975cbb1512d23aaf013c6ebd59c7d6bd,multi_line,,bar_line_combination_out_of_scope,
construction,2f64995a24fe867563e33e8a669cf7c0665747a51ba6e3a60c63ed8f92b6d8f9,single_line,,rejected,no_reliable_semantic_x_target
construction,2f64995a24fe867563e33e8a669cf7c0665747a51ba6e3a60c63ed8f92b6d8f9,single_line,,accepted,
construction,2f84858d40ae59e95053cfdcf2a53a07182c1033873786b6e51911f93ab8e8de,multi_line,,rejected,no_reliable_semantic_x_target
construction,2f84858d40ae59e95053cfdcf2a53a07182c1033873786b6e51911f93ab8e8de,multi_line,,accepted,
construction,2fa0a7d0ebd348d498b0b6299368c17829b34933971a43dbed76d9c506a57ca4,multi_line,,accepted,
construction,30c0d5d99fc36fb3c96e9be1c9c47e15c1135e9037ffec297b22652d320f36d3,single_line,,accepted,
construction,32350aeec6d4c5062ea895c370983a0a998d51ab38da30459a4387af852b3564,multi_line,,legend_unrecoverable_at_construction,
construction,32c1c420fc8844f322ba55f2509f7a899a9490190eb3f2f1d5995a6b7e891877,multi_line,,no_coherent_x_anchor_sequence,
construction,331834e7376f766ca85cfcf9c100a738fdd42b70f55e4ec251203f92d0b774f5,multi_line,,rejected,target_series_not_in_legend
construction,331834e7376f766ca85cfcf9c100a738fdd42b70f55e4ec251203f92d0b774f5,multi_line,,no_label_accepted,
construction,3357738671f53e4c6f75fdb9f931f93977ee01e6a81a539575b1dedddf0082d7,multi_line,,rejected,no_reliable_semantic_x_target
construction,3357738671f53e4c6f75fdb9f931f93977ee01e6a81a539575b1dedddf0082d7,multi_line,,rejected,no_reliable_semantic_x_target
construction,3357738671f53e4c6f75fdb9f931f93977ee01e6a81a539575b1dedddf0082d7,multi_line,,rejected,no_reliable_semantic_x_target
construction,3357738671f53e4c6f75fdb9f931f93977ee01e6a81a539575b1dedddf0082d7,multi_line,,no_label_accepted,
construction,3570cd6566e81f7ef55f3b2ae5b5c7e35bd82e702597c16f2be5984a8e9d85c3,multi_line,,bar_line_combination_out_of_scope,
construction,36f436703545ef7d2e6cb070868163d880c649118f25685d8d99f7a8b531bf25,single_line,,no_coherent_x_anchor_sequence,
construction,390279230129b83f8a6fa7341c7e98eaa46c0b89c4d24c9b8bb2719cfbdd2616,multi_line,,no_coherent_x_anchor_sequence,
construction,39149c5b34d4ff2a9388abdce5ffc19a43191800b633b902a74e38b1208d6ba2,multi_line,,no_coherent_x_anchor_sequence,
construction,393d0ef07038b9ae3c153cdd6d18544c99894598ed983e04955f07a36b12f979,multi_line,,no_coherent_x_anchor_sequence,
construction,3941e5b38f45b24c6e17784f30ae61edb72c6be86cbfe01b6a53ea429da38525,single_line,,no_coherent_x_anchor_sequence,
construction,3a23f26fc5079c3ae76525aae50c0ba22ad8ca688667de6410841f7ee428f331,single_line,,bar_line_combination_out_of_scope,
construction,3a5714e0434e8226a7ca64d45e1ef1d2df8343a44316a6a450c131306afd2bbe,single_line,,bar_line_combination_out_of_scope,
construction,3ad554d70f7bfb60b34e389b9aacd1226dc40a56280011ae6cf8f462475c9c5f,single_line,,no_coherent_x_anchor_sequence,
construction,3c2fe6c13a54b2f9a2864e8cafdae7e0d5920d21a7c3eab15d04b199aa604d1b,multi_line,,no_coherent_x_anchor_sequence,
construction,3c89089e883fb017acc9d8ca961e7f6dd3ea02e450063bfa63dca2194e11b758,single_line,,no_coherent_x_anchor_sequence,
construction,3e16fb850d1fdf549446b747ca8310e88c689c39cabf2e5594eb8d2fbb91d354,multi_line,,rejected,no_series_pixels_near_gold_y
construction,3e16fb850d1fdf549446b747ca8310e88c689c39cabf2e5594eb8d2fbb91d354,multi_line,,rejected,no_series_pixels_near_gold_y
construction,3e16fb850d1fdf549446b747ca8310e88c689c39cabf2e5594eb8d2fbb91d354,multi_line,,rejected,no_series_pixels_near_gold_y
construction,3e16fb850d1fdf549446b747ca8310e88c689c39cabf2e5594eb8d2fbb91d354,multi_line,,no_label_accepted,
construction,40a352bed327fbcdd8997d6a702c3a2cf4f73f836c2df17963e2ababc309e63f,single_line,,no_coherent_x_anchor_sequence,
construction,41bfb4e074dcc1b142ca6508a876e4a6b111873f59d94a2af726f7f9cd0eec7d,multi_line,,accepted,
construction,430fc856acd67489214e939cda8bc73ef4017815e24f13d46ec22009ba852efd,multi_line,,rejected,no_reliable_semantic_x_target
construction,430fc856acd67489214e939cda8bc73ef4017815e24f13d46ec22009ba852efd,multi_line,,rejected,no_reliable_semantic_x_target
construction,430fc856acd67489214e939cda8bc73ef4017815e24f13d46ec22009ba852efd,multi_line,,accepted,
construction,43d521531347f949021779153fadb0f49887df869048cacb1bbc95ed0a1f7bfe,multi_line,,no_coherent_x_anchor_sequence,
construction,45de463c4229bdfcbabe872219fb9718ad87952989b9612044f7736037e41012,multi_line,,no_coherent_x_anchor_sequence,
construction,4ba17a60ee1ffacff3e634ec938c72b6a6b366fa5318f059c3f48b664a541cac,multi_line,,bar_line_combination_out_of_scope,
construction,4e134f86b7106e0d34f3eb6716459454737b738ad14f804e07e254d18bd829d8,multi_line,,legend_unrecoverable_at_construction,
construction,4f0ec49d1ae75953e5429ee20390b59b5c10823b2d36dd887a03151848dd6ac3,multi_line,,rejected,no_series_pixels_near_gold_y
construction,4f0ec49d1ae75953e5429ee20390b59b5c10823b2d36dd887a03151848dd6ac3,multi_line,,rejected,label_too_far_from_any_series
construction,4f0ec49d1ae75953e5429ee20390b59b5c10823b2d36dd887a03151848dd6ac3,multi_line,,accepted,
construction,50701f1f50bf06e03caa877734c555700c0dd7321ad8f7258613d71ce3f95e3b,multi_line,,rejected,no_series_pixels_near_gold_y
construction,50701f1f50bf06e03caa877734c555700c0dd7321ad8f7258613d71ce3f95e3b,multi_line,,no_label_accepted,
construction,50cf0aaed5e06b81e22be7650be66be4aef86658d030630bc6ee17d9e9e6ddc9,multi_line,,bar_line_combination_out_of_scope,
construction,5172079575aa500e90478c083b2abf023cb62f80dc2accab211f98d33f2d1b1f,multi_line,,bar_line_combination_out_of_scope,
construction,525343379e674cea7d22e9fac746ad7f478a6499abbd22cd817b601f29cbef3f,multi_line,,no_coherent_x_anchor_sequence,
construction,54b3525d0fd372e042ec23a2ddcfbc2c7ca085cf0b600775713be87f7237734d,single_line,,bar_line_combination_out_of_scope,
construction,580afdef8d504f11f96e0d689c3102f3e9d402955aa91e051f283de52115e59d,multi_line,,no_coherent_x_anchor_sequence,
construction,5861151906672a1b5e118a333da06f4ca67946b05134831c89cf7767a1c5b381,single_line,,bar_line_combination_out_of_scope,
construction,5aa04179dae9687b1cdb96afa9229a0ca1903f0e7ddfcab630fb73f1d2f88784,single_line,,no_coherent_x_anchor_sequence,
construction,5be9abb04a776c7b1760e33eb921ab277d0bcbfd46d064d8b14057c2cfa19511,single_line,,no_coherent_x_anchor_sequence,
construction,5c8184cab4a21bbd6b12bc4d163af4874b4d505c291d499539d23d327bf84f2b,multi_line,,bar_line_combination_out_of_scope,
construction,5d37fd6cf0058529ac4085c904e9cabe9ed312d208e128ed679470e667354660,multi_line,,bar_line_combination_out_of_scope,
construction,6035ec2e1197ba04f0b9b73df44571ebb1e53294fd2df5d2162e51957306be05,multi_line,,bar_line_combination_out_of_scope,
construction,61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,multi_line,,accepted,
construction,62e5cf5a0da6a0dde86604011e459369df559196bc2863cc907ff7400f6a51c5,single_line,,bar_line_combination_out_of_scope,
construction,63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,multi_line,,accepted,
construction,643a20cddb5bd8cce8c7fbae2c4b895701ffd5f0231b7a3dcba7285e5f5cc231,multi_line,,no_coherent_x_anchor_sequence,
construction,65fed7b10054d8f2200ccfc59fa01a9560b109e468758931c0e0cc023b6e69ac,single_line,,bar_line_combination_out_of_scope,
construction,6787817fb4bd8e404a40792ff2d08ca4188c627d9814915542185868d7b64816,multi_line,,bar_line_combination_out_of_scope,
construction,67ca573ca64021e3c82bc330f74c2f6bfb53c3c039fe6dd98190cb83355e7232,single_line,,no_coherent_x_anchor_sequence,
construction,6808616d47bb5c5b50f549b659381689fc433139b7551b7b4c0b2424195dc336,multi_line,,rejected,no_reliable_semantic_x_target
