chart_id,chart_type,label_index,pseudo_gold,sample_id,status,outcome_2pct
4e7ce11fec61c5286c550fd7d939fd3ab7d2fcc2e1d6164cde0df759006cc890,bar,0,100.0,fgmvp_0000,accepted,correct_within_2pct
0bf8980100ac3fb977a6f377432a9a441a51ff7d712188f6097bc942954b2a49,bar,0,1.42,,construction_failed,construction_failed
0bf8980100ac3fb977a6f377432a9a441a51ff7d712188f6097bc942954b2a49,bar,1,1.08,,construction_failed,construction_failed
0bf8980100ac3fb977a6f377432a9a441a51ff7d712188f6097bc942954b2a49,bar,2,0.54,,construction_failed,construction_failed
0bf8980100ac3fb977a6f377432a9a441a51ff7d712188f6097bc942954b2a49,bar,3,1.01,,construction_failed,construction_failed
0bf8980100ac3fb977a6f377432a9a441a51ff7d712188f6097bc942954b2a49,bar,4,0.65,,construction_failed,construction_failed
63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,line,0,47.0,fgmvp_0001,accepted,correct_within_2pct
63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,line,1,78.0,fgmvp_0002,accepted,correct_within_2pct
eb74e3a162cd33b6bdf70ffb71ec3d75a753eb4abe6450a1408314f6ce4ecd3d,bar,0,14.9,fgmvp_0003,accepted,correct_within_2pct
eb74e3a162cd33b6bdf70ffb71ec3d75a753eb4abe6450a1408314f6ce4ecd3d,bar,1,5.8,fgmvp_0004,accepted,correct_within_2pct
2d3031df1d40645906510aa74552eb3edbdf9ab97e47dd0b2a35467b375d5784,bar,0,0.28,fgmvp_0005,accepted,correct_within_2pct
2d3031df1d40645906510aa74552eb3edbdf9ab97e47dd0b2a35467b375d5784,bar,1,0.18,,construction_failed,construction_failed
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,line,0,4.4,fgmvp_0006,accepted,correct_within_2pct
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,line,1,3.8,fgmvp_0007,accepted,correct_within_2pct
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,line,2,10.2,fgmvp_0008,accepted,correct_within_2pct
f1243693ac8a94d73b8ee2a9e25349706ba344ddb4742cd4446cfc8220d20014,bar,0,438.0,,construction_failed,construction_failed
f1243693ac8a94d73b8ee2a9e25349706ba344ddb4742cd4446cfc8220d20014,bar,1,255.0,,construction_failed,construction_failed
f1243693ac8a94d73b8ee2a9e25349706ba344ddb4742cd4446cfc8220d20014,bar,2,126.0,,construction_failed,construction_failed
f1243693ac8a94d73b8ee2a9e25349706ba344ddb4742cd4446cfc8220d20014,bar,3,103.0,,construction_failed,construction_failed
f1243693ac8a94d73b8ee2a9e25349706ba344ddb4742cd4446cfc8220d20014,bar,4,82.0,,construction_failed,construction_failed
f1243693ac8a94d73b8ee2a9e25349706ba344ddb4742cd4446cfc8220d20014,bar,5,46.0,,construction_failed,construction_failed
85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,bar,0,8.0,fgmvp_0009,accepted,correct_within_2pct
85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,bar,1,8.0,fgmvp_0010,accepted,correct_within_2pct
85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,bar,2,6.4,fgmvp_0011,accepted,correct_within_2pct
85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,bar,3,3.0,fgmvp_0012,accepted,correct_within_2pct
85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,bar,4,4.0,fgmvp_0013,accepted,correct_within_2pct
85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,bar,5,3.5,fgmvp_0014,accepted,correct_within_2pct
0984f9f91153f4c634fe36acbd2e613ca604ad4dbdd5f14e90deb6fb1ca58447,line,0,16.0,fgmvp_0015,accepted,correct_within_2pct
9e00f60ec31d8cc1db2b13221779a1c183f42f9b83e3da12312f94f6c982e5d3,bar,0,119.0,,construction_failed,construction_failed
9e00f60ec31d8cc1db2b13221779a1c183f42f9b83e3da12312f94f6c982e5d3,bar,1,75.0,,construction_failed,construction_failed
9e00f60ec31d8cc1db2b13221779a1c183f42f9b83e3da12312f94f6c982e5d3,bar,2,30.0,,construction_failed,construction_failed
9e00f60ec31d8cc1db2b13221779a1c183f42f9b83e3da12312f94f6c982e5d3,bar,3,20.0,,construction_failed,construction_failed
e17a5d5583f5de76f80fa88399622762c910d6aa96de608586d6be1231155eaf,bar,0,34.0,fgmvp_0016,accepted,correct_within_2pct
e17a5d5583f5de76f80fa88399622762c910d6aa96de608586d6be1231155eaf,bar,1,26.0,fgmvp_0017,accepted,correct_within_2pct
e17a5d5583f5de76f80fa88399622762c910d6aa96de608586d6be1231155eaf,bar,2,18.0,,construction_failed,construction_failed
e17a5d5583f5de76f80fa88399622762c910d6aa96de608586d6be1231155eaf,bar,3,7.0,fgmvp_0018,accepted,correct_within_2pct
e17a5d5583f5de76f80fa88399622762c910d6aa96de608586d6be1231155eaf,bar,4,20.0,fgmvp_0019,accepted,correct_within_2pct
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,line,0,17.5,fgmvp_0020,accepted,correct_within_2pct
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,line,1,12.7,fgmvp_0021,accepted,geometry_error_gt_2pct
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,line,2,16.8,fgmvp_0022,accepted,correct_within_2pct
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,line,3,22.6,fgmvp_0023,accepted,geometry_error_gt_2pct
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,line,4,6.3,fgmvp_0024,accepted,geometry_error_gt_2pct
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,line,5,-0.9,fgmvp_0025,accepted,geometry_error_gt_2pct
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,bar,0,35.0,fgmvp_0026,accepted,correct_within_2pct
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,bar,1,31.0,fgmvp_0027,accepted,correct_within_2pct
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,bar,2,26.0,fgmvp_0028,accepted,correct_within_2pct
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,bar,3,19.0,fgmvp_0029,accepted,correct_within_2pct
