sample_id,chart_id,representative_sample_id,chart_type,source_image_path,masked_image_path,debug_overlay_path,masked_label_text,pseudo_gold,label_ocr_confidence,crop_confirm_text,crop_confirm_confidence,label_bbox,mask_pixel_count,tick_values,tick_pixel_y,tick_details,axis_slope,axis_intercept,axis_r_squared,axis_max_residual_pixels,axis_tick_step,axis_span,plot_bbox,bar_bbox,line_point,target_x,target_y,geometry_score,raw_geometry_value,absolute_error,relative_error,axis_normalized_error,finmme_numerical_sample_ids,finmme_numerical_gold,finmme_numerical_unit,finmme_numerical_tolerance,geometry_gold_access
fgmvp_0000,4e7ce11fec61c5286c550fd7d939fd3ab7d2fcc2e1d6164cde0df759006cc890,1110,bar,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1110.jpg,phase6_geometry_scale/masked_images/fgmvp_0000.png,phase6_geometry_scale/debug_overlays/fgmvp_0000.png,100,100.0,0.9918500848972361,100,0.86356520652771,"[74.0,2.0,101.0,18.0]",510,"[100.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0]","[28.0,46.0,65.0,86.0,104.0,122.5,141.0,161.5,179.0,198.0,218.5]","[{""value"":100.0,""pixel_y"":28.0,""text"":""100"",""confidence"":0.9977358465892231,""bbox"":[29.0,19.0,55.0,37.0]},{""value"":90.0,""pixel_y"":46.0,""text"":""90"",""confidence"":0.9986217392346564,""bbox"":[35.0,37.0,55.0,55.0]},{""value"":80.0,""pixel_y"":65.0,""text"":""80"",""confidence"":0.8818507822190675,""bbox"":[35.0,56.0,55.0,74.0]},{""value"":70.0,""pixel_y"":86.0,""text"":""70"",""confidence"":0.9972744409661424,""bbox"":[34.0,74.0,58.0,98.0]},{""value"":60.0,""pixel_y"":104.0,""text"":""60"",""confidence"":0.9968791054779683,""bbox"":[35.0,95.0,55.0,113.0]},{""value"":50.0,""pixel_y"":122.5,""text"":""50"",""confidence"":0.9824086427290843,""bbox"":[35.0,112.0,57.0,133.0]},{""value"":40.0,""pixel_y"":141.0,""text"":""40"",""confidence"":0.9999805282115137,""bbox"":[35.0,131.0,55.0,151.0]},{""value"":30.0,""pixel_y"":161.5,""text"":""30"",""confidence"":0.9998091644037069,""bbox"":[35.0,151.0,57.0,172.0]},{""value"":20.0,""pixel_y"":179.0,""text"":""20"",""confidence"":0.997350835114053,""bbox"":[35.0,170.0,55.0,188.0]},{""value"":10.0,""pixel_y"":198.0,""text"":""10"",""confidence"":0.9186792354243083,""bbox"":[35.0,189.0,55.0,207.0]},{""value"":0.0,""pixel_y"":218.5,""text"":""0"",""confidence"":0.9999485022499357,""bbox"":[43.0,211.0,55.0,226.0]}]",-0.5261152967070176,114.54478117328357,0.9998582070600186,1.332662912309125,10.0,111.07609201726909,"[64.624,17.6875,543.72,228.8125]","[65,30,47,188]",null,88.5,30.0,3.0259656670845336,98.76132227207304,1.2386777279269552,0.012386777279269552,0.011151614226168283,10782,35,percentage,3.0,False
fgmvp_0001,63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,10,line,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/10.jpg,phase6_geometry_scale/masked_images/fgmvp_0001.png,phase6_geometry_scale/debug_overlays/fgmvp_0001.png,47.0,47.0,0.9998009204864502,47.0,0.9995995759963989,"[934.0,337.0,995.0,374.0]",2560,"[90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0]","[103.5,158.0,211.5,266.5,320.5,374.0,428.5,482.5,536.5,590.0]","[{""value"":90.0,""pixel_y"":103.5,""text"":""90.0"",""confidence"":0.9993299841880798,""bbox"":[26.0,87.0,86.0,120.0]},{""value"":80.0,""pixel_y"":158.0,""text"":""80.0"",""confidence"":0.986212432384491,""bbox"":[26.0,142.0,85.0,174.0]},{""value"":70.0,""pixel_y"":211.5,""text"":""70.0"",""confidence"":0.9959288239479065,""bbox"":[27.0,193.0,87.0,230.0]},{""value"":60.0,""pixel_y"":266.5,""text"":""60.0"",""confidence"":0.9991552823124689,""bbox"":[28.0,250.0,85.0,283.0]},{""value"":50.0,""pixel_y"":320.5,""text"":""50.0"",""confidence"":0.9997486472129822,""bbox"":[28.0,305.0,86.0,336.0]},{""value"":40.0,""pixel_y"":374.0,""text"":""40.0"",""confidence"":0.9993818402290344,""bbox"":[28.0,358.0,85.0,390.0]},{""value"":30.0,""pixel_y"":428.5,""text"":""30.0"",""confidence"":0.9989003539085388,""bbox"":[26.0,412.0,85.0,445.0]},{""value"":20.0,""pixel_y"":482.5,""text"":""20.0"",""confidence"":0.9994519880711785,""bbox"":[28.0,466.0,85.0,499.0]},{""value"":10.0,""pixel_y"":536.5,""text"":""10.0"",""confidence"":0.9981651902198792,""bbox"":[28.0,521.0,85.0,552.0]},{""value"":0.0,""pixel_y"":590.0,""text"":""0.0"",""confidence"":0.9993695160877768,""bbox"":[41.0,574.0,85.0,606.0]}]",-0.18492494347846045,109.19669412854755,0.99999564132519,0.4919697394228682,10.0,100.95052664489157,"[99.288,73.8,1008.64,619.7]",null,"[964.5,333.97511721903624]",964.5,333.97511721903624,2.6487097381538844,47.43636445360507,0.4363644536050728,0.009284350076703677,0.004322557475505298,8508,62.5,percentage,5.0,False
fgmvp_0002,63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,10,line,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/10.jpg,phase6_geometry_scale/masked_images/fgmvp_0002.png,phase6_geometry_scale/debug_overlays/fgmvp_0002.png,78.0,78.0,0.9891069531440735,(78.0,0.4634155321597484,"[103.0,169.0,160.0,202.0]",2160,"[90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0]","[103.5,158.0,211.5,266.5,320.5,374.0,428.5,482.5,536.5,590.0]","[{""value"":90.0,""pixel_y"":103.5,""text"":""90.0"",""confidence"":0.9993299841880798,""bbox"":[26.0,87.0,86.0,120.0]},{""value"":80.0,""pixel_y"":158.0,""text"":""80.0"",""confidence"":0.986212432384491,""bbox"":[26.0,142.0,85.0,174.0]},{""value"":70.0,""pixel_y"":211.5,""text"":""70.0"",""confidence"":0.9959288239479065,""bbox"":[27.0,193.0,87.0,230.0]},{""value"":60.0,""pixel_y"":266.5,""text"":""60.0"",""confidence"":0.9991552823124689,""bbox"":[28.0,250.0,85.0,283.0]},{""value"":50.0,""pixel_y"":320.5,""text"":""50.0"",""confidence"":0.9997486472129822,""bbox"":[28.0,305.0,86.0,336.0]},{""value"":40.0,""pixel_y"":374.0,""text"":""40.0"",""confidence"":0.9993818402290344,""bbox"":[28.0,358.0,85.0,390.0]},{""value"":30.0,""pixel_y"":428.5,""text"":""30.0"",""confidence"":0.9989003539085388,""bbox"":[26.0,412.0,85.0,445.0]},{""value"":20.0,""pixel_y"":482.5,""text"":""20.0"",""confidence"":0.9994519880711785,""bbox"":[28.0,466.0,85.0,499.0]},{""value"":10.0,""pixel_y"":536.5,""text"":""10.0"",""confidence"":0.9981651902198792,""bbox"":[28.0,521.0,85.0,552.0]},{""value"":0.0,""pixel_y"":590.0,""text"":""0.0"",""confidence"":0.9993695160877768,""bbox"":[41.0,574.0,85.0,606.0]}]",-0.18492494347846045,109.19669412854755,0.99999564132519,0.4919697394228682,10.0,100.95052664489157,"[99.288,73.8,1008.64,619.7]",null,"[131.5,162.84579556087115]",131.5,162.84579556087115,2.6267412270576482,79.08244458874853,1.0824445887485297,0.013877494727545252,0.010722525426303014,8508,62.5,percentage,5.0,False
fgmvp_0003,eb74e3a162cd33b6bdf70ffb71ec3d75a753eb4abe6450a1408314f6ce4ecd3d,6208,bar,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/6208.jpg,phase6_geometry_scale/masked_images/fgmvp_0003.png,phase6_geometry_scale/debug_overlays/fgmvp_0003.png,14.9,14.9,0.99958735704422,14.9,0.6247185804726039,"[902.0,93.0,961.0,129.0]",2418,"[16.0,14.0,12.0,10.0,8.0,6.0,4.0,2.0,0.0]","[110.0,165.5,220.5,276.5,331.5,386.0,441.0,496.5,550.5]","[{""value"":16.0,""pixel_y"":110.0,""text"":""16"",""confidence"":0.9999973026027609,""bbox"":[25.0,94.0,61.0,126.0]},{""value"":14.0,""pixel_y"":165.5,""text"":""14"",""confidence"":0.9999954481433951,""bbox"":[23.0,150.0,61.0,181.0]},{""value"":12.0,""pixel_y"":220.5,""text"":""12"",""confidence"":0.9999911491732849,""bbox"":[25.0,204.0,61.0,237.0]},{""value"":10.0,""pixel_y"":276.5,""text"":""10"",""confidence"":0.9995688206019624,""bbox"":[25.0,260.0,59.0,293.0]},{""value"":8.0,""pixel_y"":331.5,""text"":""8"",""confidence"":1.0,""bbox"":[39.0,317.0,60.0,346.0]},{""value"":6.0,""pixel_y"":386.0,""text"":""6"",""confidence"":0.9999969005608733,""bbox"":[39.0,371.0,60.0,401.0]},{""value"":4.0,""pixel_y"":441.0,""text"":""4"",""confidence"":0.9999976158156301,""bbox"":[39.0,427.0,60.0,455.0]},{""value"":2.0,""pixel_y"":496.5,""text"":""2"",""confidence"":0.5482494514991741,""bbox"":[39.0,482.0,60.0,511.0]},{""value"":0.0,""pixel_y"":550.5,""text"":""0"",""confidence"":0.999998569489037,""bbox"":[37.0,536.0,58.0,565.0]}]",-0.036302755425446455,20.01217840633105,0.9999896504901107,0.7578362661554771,2.0,18.187680468148674,"[73.288,79.75,1008.64,580.75]","[911,141,40,410]",null,931.0,141.0,2.988432494237346,14.8934898913431,0.006510108656900826,0.0004369200440873037,0.000357940566874468,7064,9.4,percentage,2.0,False
fgmvp_0004,eb74e3a162cd33b6bdf70ffb71ec3d75a753eb4abe6450a1408314f6ce4ecd3d,6208,bar,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/6208.jpg,phase6_geometry_scale/masked_images/fgmvp_0004.png,phase6_geometry_scale/debug_overlays/fgmvp_0004.png,5.8,5.8,0.9993335922907693,5.8,0.998942983782495,"[103.0,346.0,149.0,379.0]",1764,"[16.0,14.0,12.0,10.0,8.0,6.0,4.0,2.0,0.0]","[110.0,165.5,220.5,276.5,331.5,386.0,441.0,496.5,550.5]","[{""value"":16.0,""pixel_y"":110.0,""text"":""16"",""confidence"":0.9999973026027609,""bbox"":[25.0,94.0,61.0,126.0]},{""value"":14.0,""pixel_y"":165.5,""text"":""14"",""confidence"":0.9999954481433951,""bbox"":[23.0,150.0,61.0,181.0]},{""value"":12.0,""pixel_y"":220.5,""text"":""12"",""confidence"":0.9999911491732849,""bbox"":[25.0,204.0,61.0,237.0]},{""value"":10.0,""pixel_y"":276.5,""text"":""10"",""confidence"":0.9995688206019624,""bbox"":[25.0,260.0,59.0,293.0]},{""value"":8.0,""pixel_y"":331.5,""text"":""8"",""confidence"":1.0,""bbox"":[39.0,317.0,60.0,346.0]},{""value"":6.0,""pixel_y"":386.0,""text"":""6"",""confidence"":0.9999969005608733,""bbox"":[39.0,371.0,60.0,401.0]},{""value"":4.0,""pixel_y"":441.0,""text"":""4"",""confidence"":0.9999976158156301,""bbox"":[39.0,427.0,60.0,455.0]},{""value"":2.0,""pixel_y"":496.5,""text"":""2"",""confidence"":0.5482494514991741,""bbox"":[39.0,482.0,60.0,511.0]},{""value"":0.0,""pixel_y"":550.5,""text"":""0"",""confidence"":0.999998569489037,""bbox"":[37.0,536.0,58.0,565.0]}]",-0.036302755425446455,20.01217840633105,0.9999896504901107,0.7578362661554771,2.0,18.187680468148674,"[73.288,79.75,1008.64,580.75]","[107,392,40,159]",null,127.0,392.0,2.4682154780944687,5.78149827955604,0.018501720443960146,0.003189951800682784,0.001017266631463063,7064,9.4,percentage,2.0,False
fgmvp_0005,2d3031df1d40645906510aa74552eb3edbdf9ab97e47dd0b2a35467b375d5784,4829,bar,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/4829.jpg,phase6_geometry_scale/masked_images/fgmvp_0005.png,phase6_geometry_scale/debug_overlays/fgmvp_0005.png,0.28,0.28,0.9999845027923584,0.28,0.9999815821647644,"[899.0,40.0,972.0,78.0]",3116,"[0.3,0.25,0.2,0.15,0.1,0.05,0.0]","[51.0,139.0,225.0,312.5,400.5,488.0,575.0]","[{""value"":0.3,""pixel_y"":51.0,""text"":""0.30"",""confidence"":0.9157437413100659,""bbox"":[30.0,32.0,105.0,70.0]},{""value"":0.25,""pixel_y"":139.0,""text"":""0.25"",""confidence"":0.9937740635362127,""bbox"":[29.0,120.0,105.0,158.0]},{""value"":0.2,""pixel_y"":225.0,""text"":""0.20"",""confidence"":0.8789620340564981,""bbox"":[29.0,206.0,105.0,244.0]},{""value"":0.15,""pixel_y"":312.5,""text"":""0.15"",""confidence"":0.9999862313270569,""bbox"":[29.0,293.0,105.0,332.0]},{""value"":0.1,""pixel_y"":400.5,""text"":""0.10"",""confidence"":0.9999958872795105,""bbox"":[29.0,382.0,105.0,419.0]},{""value"":0.05,""pixel_y"":488.0,""text"":""0.05"",""confidence"":0.9999869465827942,""bbox"":[30.0,469.0,105.0,507.0]},{""value"":0.0,""pixel_y"":575.0,""text"":""0.00"",""confidence"":0.9932124614715576,""bbox"":[29.0,557.0,105.0,593.0]}]",-0.0005724766432806858,0.32918518934685453,0.9999940222449405,0.6796156205276384,0.049999999999999996,0.3499578344206996,"[117.288,11.82,1008.64,623.125]","[923,91,23,485]",null,934.5,91.0,2.957669521557962,0.27708981480831213,0.0029101851916878974,0.01039351854174249,0.008315816665471293,10224,0.22,million,0.009999999776482582,False
fgmvp_0006,ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,1356,line,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1356.jpg,phase6_geometry_scale/masked_images/fgmvp_0006.png,phase6_geometry_scale/debug_overlays/fgmvp_0006.png,4.4,4.4,0.9798425942224451,4.4,0.8819810141113185,"[202.0,279.0,240.0,304.0]",1107,"[12.0,10.0,8.0,6.0,4.0,2.0]","[33.0,108.5,183.5,258.0,333.5,407.5]","[{""value"":12.0,""pixel_y"":33.0,""text"":""12.0"",""confidence"":0.9998171329498291,""bbox"":[26.0,20.0,75.0,46.0]},{""value"":10.0,""pixel_y"":108.5,""text"":""10.0"",""confidence"":0.9844072808615038,""bbox"":[26.0,95.0,75.0,122.0]},{""value"":8.0,""pixel_y"":183.5,""text"":""8.0"",""confidence"":0.9997315853165792,""bbox"":[38.0,170.0,75.0,197.0]},{""value"":6.0,""pixel_y"":258.0,""text"":""6.0"",""confidence"":0.9999262882369743,""bbox"":[38.0,246.0,75.0,270.0]},{""value"":4.0,""pixel_y"":333.5,""text"":""4.0"",""confidence"":0.9994380608241118,""bbox"":[38.0,321.0,75.0,346.0]},{""value"":2.0,""pixel_y"":407.5,""text"":""2.0"",""confidence"":0.6277324557304382,""bbox"":[38.0,394.0,75.0,421.0]}]",-0.02669698615259299,12.891134944338852,0.9999928241728404,0.4610983981693491,2.0,11.744404663317944,"[87.288,8.834999999999999,1008.64,448.75]",null,"[221.0,315.5927410001177]",221.0,315.5927410001177,2.4938835719945356,4.465759907999843,0.06575990799984233,0.0149454336363278,0.00559925427341877,1356,5.9,USD,1.0,False
fgmvp_0007,ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,1356,line,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1356.jpg,phase6_geometry_scale/masked_images/fgmvp_0007.png,phase6_geometry_scale/debug_overlays/fgmvp_0007.png,3.8,3.8,0.9858880043029785,3.8,0.661651074886322,"[151.0,300.0,192.0,326.0]",1276,"[12.0,10.0,8.0,6.0,4.0,2.0]","[33.0,108.5,183.5,258.0,333.5,407.5]","[{""value"":12.0,""pixel_y"":33.0,""text"":""12.0"",""confidence"":0.9998171329498291,""bbox"":[26.0,20.0,75.0,46.0]},{""value"":10.0,""pixel_y"":108.5,""text"":""10.0"",""confidence"":0.9844072808615038,""bbox"":[26.0,95.0,75.0,122.0]},{""value"":8.0,""pixel_y"":183.5,""text"":""8.0"",""confidence"":0.9997315853165792,""bbox"":[38.0,170.0,75.0,197.0]},{""value"":6.0,""pixel_y"":258.0,""text"":""6.0"",""confidence"":0.9999262882369743,""bbox"":[38.0,246.0,75.0,270.0]},{""value"":4.0,""pixel_y"":333.5,""text"":""4.0"",""confidence"":0.9994380608241118,""bbox"":[38.0,321.0,75.0,346.0]},{""value"":2.0,""pixel_y"":407.5,""text"":""2.0"",""confidence"":0.6277324557304382,""bbox"":[38.0,394.0,75.0,421.0]}]",-0.02669698615259299,12.891134944338852,0.9999928241728404,0.4610983981693491,2.0,11.744404663317944,"[87.288,8.834999999999999,1008.64,448.75]",null,"[171.5,337.79861921828285]",171.5,337.79861921828285,2.462975340864212,3.872929884703323,0.07292988470332329,0.019192074921927184,0.006209755776817696,1356,5.9,USD,1.0,False
fgmvp_0008,ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,1356,line,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1356.jpg,phase6_geometry_scale/masked_images/fgmvp_0008.png,phase6_geometry_scale/debug_overlays/fgmvp_0008.png,10.2,10.2,0.9999736547470093,10.2,0.9999803900718689,"[938.0,60.0,987.0,88.0]",1612,"[12.0,10.0,8.0,6.0,4.0,2.0]","[33.0,108.5,183.5,258.0,333.5,407.5]","[{""value"":12.0,""pixel_y"":33.0,""text"":""12.0"",""confidence"":0.9998171329498291,""bbox"":[26.0,20.0,75.0,46.0]},{""value"":10.0,""pixel_y"":108.5,""text"":""10.0"",""confidence"":0.9844072808615038,""bbox"":[26.0,95.0,75.0,122.0]},{""value"":8.0,""pixel_y"":183.5,""text"":""8.0"",""confidence"":0.9997315853165792,""bbox"":[38.0,170.0,75.0,197.0]},{""value"":6.0,""pixel_y"":258.0,""text"":""6.0"",""confidence"":0.9999262882369743,""bbox"":[38.0,246.0,75.0,270.0]},{""value"":4.0,""pixel_y"":333.5,""text"":""4.0"",""confidence"":0.9994380608241118,""bbox"":[38.0,321.0,75.0,346.0]},{""value"":2.0,""pixel_y"":407.5,""text"":""2.0"",""confidence"":0.6277324557304382,""bbox"":[38.0,394.0,75.0,421.0]}]",-0.02669698615259299,12.891134944338852,0.9999928241728404,0.4610983981693491,2.0,11.744404663317944,"[87.288,8.834999999999999,1008.64,448.75]",null,"[962.5,100.60982306415437]",962.5,100.60982306415437,1.7222935338101573,10.205155891180292,0.005155891180292471,0.0005054795274796541,0.0004390083046436741,1356,5.9,USD,1.0,False
fgmvp_0009,85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,3990,bar,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/3990.jpg,phase6_geometry_scale/masked_images/fgmvp_0009.png,phase6_geometry_scale/debug_overlays/fgmvp_0009.png,8.0,8.0,0.9998266305402442,8.0,0.9996732924293015,"[113.0,118.0,155.0,150.0]",1575,"[9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0]","[111.0,161.5,210.5,261.0,311.5,361.5,410.5,460.5,510.0,561.5]","[{""value"":9.0,""pixel_y"":111.0,""text"":""9.0"",""confidence"":0.9999309683272695,""bbox"":[22.0,93.0,70.0,129.0]},{""value"":8.0,""pixel_y"":161.5,""text"":""8.0"",""confidence"":0.9999739151752387,""bbox"":[23.0,145.0,69.0,178.0]},{""value"":7.0,""pixel_y"":210.5,""text"":""7.0"",""confidence"":0.9777111411094666,""bbox"":[23.0,194.0,69.0,227.0]},{""value"":6.0,""pixel_y"":261.0,""text"":""6.0"",""confidence"":0.9998801069150949,""bbox"":[22.0,243.0,70.0,279.0]},{""value"":5.0,""pixel_y"":311.5,""text"":""5.0"",""confidence"":0.9988381092952228,""bbox"":[23.0,295.0,69.0,328.0]},{""value"":4.0,""pixel_y"":361.5,""text"":""4.0"",""confidence"":0.6682629584672765,""bbox"":[23.0,345.0,69.0,378.0]},{""value"":3.0,""pixel_y"":410.5,""text"":""3.0"",""confidence"":0.999184462209486,""bbox"":[23.0,394.0,69.0,427.0]},{""value"":2.0,""pixel_y"":460.5,""text"":""2.0"",""confidence"":0.5120682120323181,""bbox"":[23.0,444.0,69.0,477.0]},{""value"":1.0,""pixel_y"":510.0,""text"":""1.0"",""confidence"":0.9968841629460509,""bbox"":[25.0,494.0,69.0,526.0]},{""value"":0.0,""pixel_y"":561.5,""text"":""0.0"",""confidence"":0.9469742178916931,""bbox"":[23.0,545.0,69.0,578.0]}]",-0.020017949974918365,11.22503029407382,0.9999875919288765,0.7930785562630327,1.0,10.119073712321233,"[82.288,83.5,1008.64,589.0]","[115,164,38,396]",null,134.0,164.0,2.9378921460518823,7.942086498187209,0.057913501812791424,0.007239187726598928,0.005723201891718065,8858,36.9,percentage,3.0,False
