scope,questions,coverage,raw_vlm_accuracy,geometry_accuracy_all,geometry_accuracy_covered,fallback_accuracy,accuracy
all,167,0.2934131736526946,0.47904191616766467,0.0718562874251497,0.24489795918367346,0.41317365269461076,
chart_kind:bar,53,0.09433962264150944,0.6415094339622641,0.03773584905660377,0.4,0.6415094339622641,
chart_kind:line,114,0.38596491228070173,0.40350877192982454,0.08771929824561403,0.22727272727272727,0.30701754385964913,
question_type:numerical,59,0.3389830508474576,0.1694915254237288,0.03389830508474576,0.1,0.15254237288135594,
question_type:single_choice,108,0.26851851851851855,0.6481481481481481,0.09259259259259259,0.3448275862068966,0.5555555555555556,
operation:difference,20,0.45,0.15,0.0,0.0,0.15,
operation:direct,122,0.29508196721311475,0.6147540983606558,0.09836065573770492,0.3333333333333333,0.5245901639344263,
operation:growth_rate,25,0.16,0.08,0.0,0.0,0.08,
full_finmme_raw_vlm_official,11099,,,,,,0.5559059374718444
full_finmme_geometry_hard_route_official,11099,,,,,,0.5497792593927381
full_finmme_geometry_fallback_official,11099,,,,,,0.5549148571943419
full_finmme_raw_vlm_paper_protocol,11099,,,,,,0.556104153527346
full_finmme_geometry_hard_route_paper_protocol,11099,,,,,,0.5497972790341483
full_finmme_geometry_fallback_paper_protocol,11099,,,,,,0.5549328768357521
